,Customer,Country,State Code,State,Claim Amount,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Claim Reason,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Loss_Ratio,Loss_Ratio_Classified
0,600,0,1,1,276.35192789999996,0,1,3,47,1,0,56274,1,1,69,32,5,0,1,0,2,3,0,384.811147,1,2,0.8010200808695651,1
1,5946,0,3,3,697.9535903,0,2,3,24,0,0,0,1,0,94,13,42,0,8,1,5,2,0,1131.464935,2,2,0.1767866236828774,0
2,96,0,4,4,1288.743165,0,3,3,41,1,0,48767,1,1,108,18,38,0,2,1,5,3,0,566.4722469999999,1,2,0.3140212390350877,0
3,8016,0,2,2,764.5861827,0,1,3,12,0,1,0,1,1,106,18,65,0,7,0,1,3,2,529.881344,3,2,0.11097041838896952,0
4,2488,0,1,1,281.3692575,0,1,3,52,1,1,43836,0,0,73,12,44,0,1,1,3,3,0,138.130879,2,2,0.0875993952366127,0
5,4947,0,0,0,825.62978,1,1,3,17,1,0,62902,0,1,69,14,94,0,2,1,5,1,3,159.383042,1,2,0.1272941381436941,0
6,8433,0,0,0,538.0898636,1,1,2,47,1,0,55350,1,1,67,0,13,0,9,0,2,3,0,321.6,2,2,0.6177839995407577,1
7,755,0,3,3,721.6100311,0,3,4,9,0,1,0,2,0,101,0,68,0,4,0,2,3,0,363.02968,2,2,0.10506843784216657,0
8,1351,0,0,0,2412.750402,1,1,3,18,0,1,14072,1,0,71,13,3,0,2,0,2,3,0,511.2,2,2,11.32746667605634,1
9,547,0,0,0,738.8178085,0,2,2,39,1,0,28812,2,1,93,17,7,0,8,2,7,1,1,425.527834,2,2,1.134896787250384,1
10,6613,0,2,2,473.8992022,0,1,2,44,0,1,0,1,0,67,23,5,0,3,1,5,3,0,482.4,2,1,1.4146244841791045,1
11,7576,0,2,2,819.7197077999999,0,1,2,27,0,0,0,1,1,110,27,87,0,3,1,5,1,0,528.0,3,2,0.08565514188087774,0
12,1226,0,2,2,879.8797002999999,0,3,4,55,1,1,77026,2,1,110,9,82,2,3,0,0,1,0,472.029737,2,2,0.09754763861419068,0
13,6434,0,3,3,881.9018934000001,1,1,1,1,1,1,99845,1,1,110,23,25,1,8,0,2,1,1,528.0,3,2,0.32069159760000004,0
14,2965,0,2,2,538.4431665,0,1,2,9,1,1,83689,2,0,70,21,10,2,8,0,2,4,2,307.13913199999996,2,2,0.7692045235714285,1
15,626,0,0,0,746.3139377,0,1,3,8,1,0,24599,0,1,64,12,50,1,2,0,1,1,1,42.920271,2,2,0.23322310553125,0
16,2055,0,4,4,256.6867823,0,1,1,55,0,1,25049,1,1,67,14,7,0,1,1,5,1,2,454.24509800000004,1,2,0.5473065720682303,1
17,4964,0,2,2,394.52416039999997,0,1,2,26,0,1,28855,1,1,101,12,59,0,1,1,4,2,2,647.4420309999999,3,2,0.06620643738882362,0
18,7739,0,0,0,571.0333115,0,1,2,50,1,1,51148,2,1,72,9,1,0,7,1,4,1,1,308.981664,2,2,7.931018215277778,1
19,1895,0,2,2,816.2617052999999,0,3,1,5,1,0,66140,1,1,101,11,21,0,3,0,1,3,2,484.8,2,1,0.3848475743988684,0
20,8914,0,0,0,287.2051273,0,1,1,41,1,1,57749,1,0,74,31,21,0,1,1,4,3,1,355.2,1,2,0.18481668423423425,0
21,6589,0,1,1,304.1791561,0,2,3,13,0,0,13789,1,0,79,8,49,0,1,1,5,4,2,379.2,2,2,0.07857896050116249,0
22,8532,0,3,3,2412.750402,1,1,3,18,0,1,14072,1,0,71,13,3,0,2,1,5,3,0,511.2,2,2,11.32746667605634,1
23,7000,0,4,4,245.01909959999998,0,1,3,47,0,0,0,1,0,73,4,44,3,1,0,2,3,1,554.376763,2,2,0.07628240958904109,0
24,2626,0,2,2,239.210789,0,1,3,54,0,0,17870,1,1,61,30,91,0,1,0,1,1,1,439.2,2,2,0.04309327850837687,0
25,2010,0,0,0,580.2065977999999,0,1,2,21,1,1,97541,1,1,72,22,1,0,3,1,5,1,2,389.185006,2,3,8.058424969444443,1
26,7270,0,2,2,394.6372085,0,3,3,51,0,0,0,1,0,111,15,47,0,1,1,5,3,0,799.2,2,1,0.07564447163120568,0
27,2643,0,1,1,534.6916576,0,2,4,34,0,0,10511,2,1,139,33,64,0,1,0,0,3,1,516.237951,3,2,0.060104727697841726,0
28,2190,0,3,3,1290.256014,0,3,2,42,1,0,86584,1,0,111,33,54,2,2,1,5,3,2,532.8,2,3,0.21525792692692694,0
29,1482,0,0,0,323.5360468,0,2,4,56,1,0,75690,1,1,80,17,44,1,1,1,5,1,1,384.0,2,1,0.0919136496590909,0
30,6591,0,3,3,245.458354,0,1,2,51,1,1,23158,1,1,63,4,6,1,1,1,4,4,2,322.29404300000004,2,1,0.6493607248677249,1
31,7160,0,4,4,1897.545611,0,2,1,14,1,1,65999,2,1,237,1,14,0,6,0,1,1,0,615.927769,4,2,0.5718943975286317,1
32,5328,0,2,2,471.53213439999996,0,1,3,17,0,1,0,2,1,65,19,56,0,3,1,5,3,2,308.15089,2,2,0.12954179516483516,0
33,166,0,1,1,501.8885233,0,1,3,9,1,1,54500,1,1,63,28,17,0,6,0,1,3,0,302.4,1,1,0.4686167351073763,0
34,6447,0,0,0,493.2916345,0,1,3,35,1,0,37260,0,1,62,19,42,0,8,0,0,2,3,15.437681,2,2,0.18943611155913978,0
35,8720,0,3,3,574.4229745,0,1,1,6,1,0,68987,2,1,71,11,40,0,6,1,3,3,1,204.475147,2,2,0.20226161073943663,0
36,3827,0,2,2,1389.173567,0,3,3,29,1,1,42305,1,1,117,10,62,0,2,1,5,3,0,561.6,2,1,0.1915044895230218,0
37,1188,0,0,0,738.0976717,0,2,4,55,1,0,65706,1,1,91,19,86,0,8,1,5,1,3,436.8,2,1,0.0943135282008689,0
38,837,0,0,0,309.0034104,0,2,3,17,0,1,0,1,0,90,7,79,0,1,1,4,2,0,648.0,1,1,0.043460395274261605,0
39,7732,0,3,3,252.16330950000003,0,1,1,56,1,1,53243,0,0,66,4,15,2,1,1,5,3,2,157.397849,2,2,0.25471041363636365,0
40,5680,0,4,4,265.2061785,0,1,1,9,0,0,0,1,1,70,7,1,1,1,0,2,2,2,484.31853600000005,1,2,3.788659692857143,1
41,4257,0,0,0,277.10450310000004,1,1,2,2,1,0,50071,0,0,71,3,32,0,1,0,2,1,0,18.918935,1,2,0.12196501016725354,0
42,2955,0,2,2,393.900637,1,2,3,20,1,0,60021,1,1,99,12,28,0,1,1,4,1,0,882.8719449999999,2,1,0.1420997968975469,0
43,6536,0,3,3,1223.187968,0,1,1,57,1,1,43244,1,1,103,15,16,0,2,1,4,4,0,494.4,5,2,0.7422257087378641,1
44,1122,0,1,1,244.36651659999998,0,1,2,46,1,1,92834,1,1,61,15,56,0,1,2,7,1,2,292.8,2,3,0.07153586551522248,0
45,2552,0,0,0,1281.9102890000001,0,3,5,17,0,0,10105,0,1,172,5,4,3,3,1,4,3,1,0.517753,3,2,1.8632416991279073,1
46,590,0,3,3,446.85105419999996,0,1,3,24,0,1,0,1,0,73,7,57,3,5,1,5,2,2,579.165954,2,2,0.10739030382119683,0
47,8243,0,0,0,551.4344017999999,0,1,1,11,1,0,23218,1,0,71,7,10,0,4,1,4,4,0,447.79344000000003,1,2,0.7766681715492957,1
48,3708,0,2,2,334.38753260000004,0,2,3,56,0,0,0,1,1,92,11,77,0,1,0,1,1,2,529.624084,2,2,0.04720320900621119,0
49,6402,0,3,3,229.44789269999995,0,1,1,9,0,0,0,1,1,62,11,56,0,1,1,4,4,1,313.023175,2,2,0.0660852225518433,0
50,7771,0,0,0,3670.742639,0,1,2,8,1,1,24804,1,1,104,1,28,0,2,1,4,3,0,593.830288,3,1,1.2605572249313186,1
51,5568,0,2,2,3347.334946,1,1,3,2,1,0,33190,1,0,106,18,95,0,2,0,0,3,3,508.8,3,2,0.33240664806355513,0
52,5985,0,4,4,798.3431709,0,1,1,44,1,0,36014,0,1,69,4,40,3,2,2,6,4,1,173.956072,2,2,0.2892547720652174,0
53,8325,0,1,1,485.4745666,0,1,3,38,1,1,29834,1,0,64,19,44,0,3,1,5,4,0,307.2,2,2,0.17239863870738636,0
54,1997,0,2,2,429.3997319,0,3,3,8,0,1,16701,1,1,113,20,26,0,1,1,4,3,1,831.625979,2,1,0.1461537549012934,0
55,6622,0,3,3,716.4395542999999,0,2,2,54,1,0,46623,1,0,91,1,53,0,3,0,2,2,2,436.8,2,1,0.14854645538046857,0
56,180,0,2,2,761.95158,0,1,2,35,1,1,64749,2,1,64,24,59,0,2,2,7,1,1,302.56519,2,2,0.2017880243644068,0
57,2008,0,3,3,395.80028230000005,0,1,1,46,0,0,0,1,1,101,29,12,0,1,1,4,3,2,484.8,3,1,0.32656788968646866,0
58,4369,0,0,0,449.94932520000003,0,2,1,20,0,0,16969,1,0,124,34,47,2,1,1,5,3,2,704.7681110000001,3,2,0.07720475724090597,0
59,7019,0,0,0,405.9567414,0,3,4,51,0,0,11621,1,0,108,4,98,0,1,1,3,3,0,518.4,2,2,0.03835570119047619,0
60,718,0,3,3,445.8113369,1,1,3,11,0,1,17622,1,0,65,1,36,1,3,1,3,3,0,312.0,2,2,0.19051766534188036,0
61,6220,0,2,2,811.0333138999999,0,3,3,14,0,0,11489,1,1,105,4,50,0,6,1,5,3,2,504.0,1,1,0.15448253598095238,0
62,1823,0,0,0,333.97648730000003,0,2,3,6,0,1,0,1,0,94,20,53,0,1,1,5,3,0,863.327324,1,1,0.06703662932557207,0
63,4766,0,2,2,2426.101777,0,1,1,19,1,0,66525,0,1,100,0,86,0,2,1,5,3,0,104.331355,3,2,0.28210485779069766,0
64,7714,0,3,3,661.3973653,0,1,3,15,0,0,0,1,0,63,21,28,0,2,1,5,2,1,676.391482,2,3,0.3749418170634921,0
65,6474,0,1,1,293.0693543,0,1,2,24,1,1,33663,1,1,73,29,71,0,1,1,5,2,3,350.4,2,2,0.05654434773297318,0
66,1904,0,0,0,867.2194272,0,1,2,18,1,0,22547,1,0,112,7,60,0,3,0,2,3,0,537.6,3,2,0.12905051,0
67,1227,0,3,3,1163.866926,0,2,1,1,1,0,61486,2,1,97,5,65,0,2,1,5,4,1,465.25864400000006,1,1,0.18459427850911975,0
68,2423,0,0,0,684.6150322999999,1,2,3,19,0,0,0,1,0,95,13,20,0,5,1,5,3,2,456.0,1,3,0.36032370121052626,0
69,6279,0,2,2,1172.777648,0,3,2,30,0,0,29879,1,1,102,17,1,0,2,1,5,2,3,500.25423499999994,2,2,11.497820078431372,1
70,5571,0,0,0,2264.383478,0,1,1,47,1,1,93011,0,0,113,17,12,0,2,1,5,4,0,281.451042,3,2,1.669899320058997,1
71,4419,0,0,0,261.4474305,0,1,4,33,1,1,65186,0,1,65,29,27,0,1,1,4,1,3,5.434505000000001,1,3,0.14897289487179488,0
72,2761,0,0,0,245.17526949999998,0,1,4,34,0,1,26840,1,1,64,1,47,2,1,1,3,3,0,307.2,2,2,0.08150773587101064,0
73,2477,0,0,0,678.1270203,0,1,3,53,0,1,0,1,0,104,30,3,1,5,1,5,3,0,982.399613,5,2,2.173484039423077,1
74,510,0,0,0,497.4801539,1,1,3,9,1,1,75644,1,0,65,5,68,3,9,1,5,1,1,467.803638,1,2,0.11255207101809955,0
75,8743,0,0,0,859.1604933,0,1,3,33,1,1,38984,1,1,73,27,38,0,2,1,5,1,1,350.4,2,1,0.3097189954217736,0
76,1361,0,0,0,559.2161392,0,1,1,31,1,0,71811,0,0,71,17,48,0,6,1,3,1,2,29.034159999999996,2,2,0.1640892427230047,0
77,8382,0,4,4,800.9472833,0,1,2,37,1,1,20961,1,1,67,20,33,0,2,1,3,1,0,321.6,2,2,0.362255668611488,0
